Año,Mes,Aeropuerto,Infraestructura,NPI,NPN,TUUAN_VER,TUUAN,TUUAI_VER,TUUAI,IRAD_VER,IRAD,AADM_VER,AADM,ADEP_VER,ADEP,ALC_VER,ALC,AOOA_VER,AOOA,ADAH_VER,ADAH,AEHE_VER,AEHE,IREA_VER,IREA,IRIF_VER,IRIF,IRR_VER,IRR,Entidad_Infraestructura
2022,Junio,Rioja,COR,0,16,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Tacna,AAP,0,29223,Si,63328.82,No,0,Si,12030.5,No,0,Si,2010.08,Si,2114.02,No,0,No,0,Si,12868.61,Si,59.11,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Junio,Talara,ADP,0,18185,Si,38024.75,No,0,Si,6629.46,No,0,Si,468.66,Si,2883.8300000000004,Si,139.39,Si,1301.76,Si,9301.45,Si,76.32,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Tarapoto,ADP,2,69937,Si,147058.44,No,0,Si,69025.90999999999,No,0,Si,3090.76,Si,8280.48,Si,1381.35,Si,3250.64,Si,16647.51,Si,638.3599999999999,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Tingo María,COR,0,139,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Trujillo,ADP,3551,60061,Si,131218.56,Si,27116.16,Si,34461.5,No,0,Si,8230.130000000001,Si,11592.91,Si,562.3599999999999,Si,5513.49,No,0,Si,748.09,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Tumbes,ADP,42,27128,Si,57846.75,Si,306.81,Si,11938.85,No,0,Si,488,Si,5523.88,Si,214.17,Si,937.36,Si,104.09,Si,42.56,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Yurimaguas,COR,0,2345,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,-,ADP,0,0,Si,53864.5,No,0,Si,8896.26,No,0,Si,618.8299999999999,Si,3500.14,Si,139.39,Si,1299.32,Si,8766.11,Si,44.39,No,0,Si,2485.65,Aeropuertos del Perú S.A.
2022,Marzo,-,COR,0,691,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Andahuaylas,AAP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Marzo,Arequipa,AAP,1994,116690,Si,312627.13999999996,Si,20021.58,Si,104009.21,No,0,Si,30445.55,Si,16732.09,Si,1194,No,0,Si,651.42,Si,298.96,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Marzo,Atalaya,COR,0,1715,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Ayacucho,AAP,0,20853,Si,45995.23,No,0,Si,7806.63,Si,2320.4700000000003,No,0,Si,184.87,Si,605.3399999999999,No,0,Si,24561.64,Si,-677.8599999999999,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Marzo,Cajamarca,ADP,0,33474,Si,75726.5,No,0,Si,13784.18,No,0,Si,1565.63,Si,1139.1,Si,95,Si,1443.01,Si,148.7,Si,74.16999999999999,No,0,Si,1545.57,Aeropuertos del Perú S.A.
